@relation active_action_1
@attribute a1 numeric
@attribute c_a1 numeric
@attribute a2 numeric
@attribute c_a2 numeric
@attribute a3 numeric
@attribute c_a3 numeric
@attribute a4 numeric
@attribute c_a4 numeric
@attribute a5 numeric
@attribute c_a5 numeric
@attribute a6 numeric
@attribute c_a6 numeric
@attribute t4_a {0,1}
@data
1,5,3,15,0,0,0,14,0,1,0,4,0
1,7,3,15,0,0,0,20,0,2,0,4,0
1,4,3,13,0,2,3,22,0,2,0,3,0
0,2,2,14,0,4,3,19,0,7,0,6,1
0,0,2,9,1,6,3,12,0,5,0,5,0
0,1,0,4,1,5,0,11,0,6,0,5,0
0,1,0,6,1,3,0,9,0,1,0,5,0
0,1,1,9,0,1,0,10,0,1,0,4,0
0,0,1,9,0,0,0,6,0,1,0,4,0
0,0,2,6,0,0,0,8,0,2,0,2,0
0,0,1,5,0,0,0,8,0,4,0,3,0
0,0,1,5,0,0,0,9,0,3,0,3,0
0,0,0,4,0,1,0,10,0,3,0,4,0
0,0,1,10,0,1,1,14,0,3,0,3,0
0,1,1,11,0,1,1,14,0,4,0,2,0
0,1,1,12,0,0,1,11,0,5,0,0,0
0,1,1,12,1,5,6,18,2,8,2,9,0
0,1,0,12,0,4,4,16,2,9,0,3,1
0,1,0,12,1,4,3,18,1,10,0,0,0
0,0,1,13,1,3,2,22,0,7,1,2,0
0,1,3,11,1,3,1,25,0,5,1,4,0
0,1,3,14,0,2,3,24,0,3,1,7,0
0,2,4,11,0,3,5,21,1,5,0,5,0
0,1,3,15,0,3,6,17,1,8,0,4,0
0,2,3,13,0,4,4,17,1,9,0,3,0
0,1,2,12,0,5,2,13,0,6,0,3,0
0,2,1,16,0,5,2,14,0,8,0,4,0
0,2,1,18,0,2,3,13,0,11,0,4,0
0,3,0,19,0,0,2,16,0,12,0,6,0
0,2,0,12,0,1,1,19,0,7,0,5,0
0,3,1,10,0,1,0,19,0,5,1,4,0
0,2,1,12,0,1,0,14,0,4,1,4,0
0,5,4,17,0,0,1,12,0,3,2,4,0
1,5,4,14,0,0,1,13,0,1,1,3,0
1,7,4,14,0,0,1,19,0,2,1,3,0
1,4,3,13,0,2,1,24,0,2,0,3,0
0,2,4,12,0,4,1,21,2,5,0,6,0
0,0,4,7,0,7,1,14,2,3,0,5,0
1,0,2,2,0,6,1,10,2,4,0,5,0
1,0,0,6,0,4,1,8,0,1,1,4,0
1,0,0,10,0,1,1,9,0,1,1,3,0
0,0,0,10,0,0,0,6,0,1,1,3,0
0,0,0,8,0,0,1,7,0,2,0,2,0
0,0,0,6,0,0,1,7,1,3,0,3,0
0,0,0,6,0,0,1,8,1,2,0,3,0
0,0,0,4,0,1,0,10,1,2,0,4,0
0,0,2,9,0,1,2,13,1,2,0,3,0
0,1,2,10,0,1,2,13,1,3,0,2,0
0,1,2,11,0,0,2,10,1,4,0,0,0
